,alpha,gamma,epsilon,mean_reward,mean_total_health,q_var,num_episodes
352,0.4,0.6,0.3,-4.51,47.19,157.08721772436454,1000
353,0.4,0.6,0.4,18.84,69.9,159.71569584044116,1000
354,0.4,0.6,0.5,35.71,86.07,158.1371957545062,1000
355,0.4,0.6,0.6,43.18,93.32,158.49756023670957,1000
356,0.4,0.6,0.7,45.15,95.39,148.37403274895135,1000
357,0.4,0.6,0.8,46.79,97.23,140.38288018209238,1000
358,0.4,0.6,0.9,49.37,99.43,128.4964028101409,1000
359,0.4,0.6,1.0,32.72727272727273,97.27272727272727,0.0422176698030078,22
360,0.4,0.7,0.1,-45.84,17.36,104.70116240913691,1000
361,0.4,0.7,0.2,-33.89,22.01,150.68150372926218,1000
362,0.4,0.7,0.3,-8.44,43.2,172.5723090656871,1000
363,0.4,0.7,0.4,18.67,69.24,176.4969703083156,1000
364,0.4,0.7,0.5,36.34,86.64,174.98686185555349,1000
365,0.4,0.7,0.6,41.97,92.42,165.79216738857664,1000
366,0.4,0.7,0.7,45.07,95.3,166.75951294109055,1000
367,0.4,0.7,0.8,46.62,96.76,161.1654613459862,1000
368,0.4,0.7,0.9,47.06,99.45,121.8552878731196,1000
369,0.4,0.7,1.0,33.41463414634146,98.53658536585365,0.11285350188294485,41
370,0.4,0.8,0.1,-46.93,15.98,119.08538551337028,1000
371,0.4,0.8,0.2,-37.01,18.6,165.58083610531733,1000
372,0.4,0.8,0.3,-6.29,45.25,190.77889710657337,1000
373,0.4,0.8,0.4,18.45,69.21,193.04733027652773,1000
374,0.4,0.8,0.5,34.66,85.15,189.76908494653378,1000
375,0.4,0.8,0.6,10.0,82.5,0.021773943443255596,12
376,0.4,0.8,0.7,23.529411764705884,93.52941176470588,0.038019984280904306,17
377,0.4,0.8,0.8,46.9,97.56,169.18299083859733,1000
378,0.4,0.8,0.9,31.75,97.75,0.35167539393983915,40
379,0.4,0.8,1.0,33.95348837209303,99.30232558139535,0.25771967274418395,86
380,0.4,0.9,0.1,-46.3,16.21,132.22433933028006,1000
381,0.4,0.9,0.2,-36.78,18.95,180.5722236628407,1000
382,0.4,0.9,0.3,-9.29,42.45,206.33879481032247,1000
383,0.4,0.9,0.4,15.6,66.34,212.6385098217009,1000
384,0.4,0.9,0.5,33.23,83.57,214.0566616785366,1000
385,0.4,0.9,0.6,27.63157894736842,92.36842105263158,0.3465278919891612,38
386,0.4,0.9,0.7,44.48,94.97,200.7020773243033,1000
387,0.4,0.9,0.8,46.03,96.37,193.1518318963929,1000
388,0.4,0.9,0.9,45.33,97.82,158.5080395171105,1000
389,0.4,0.9,1.0,46.3,99.94,53.04459025212265,1000
390,0.4,1.0,0.1,-49.92,19.79,101.44246303917086,1000
391,0.4,1.0,0.2,-44.6,20.19,122.39414723365341,1000
392,0.4,1.0,0.3,-43.41,18.96,142.66178936137783,1000
393,0.4,1.0,0.4,-40.59,18.63,168.07803688462124,1000
394,0.4,1.0,0.5,-25.9,28.54,197.94665447340344,1000
395,0.4,1.0,0.6,-8.04,44.13,225.69913122999543,1000
396,0.4,1.0,0.7,19.07,69.67,239.5256820606615,1000
397,0.4,1.0,0.8,40.74,91.11,235.8390489254687,1000
398,0.4,1.0,0.9,47.77,98.28,211.24462734339278,1000
399,0.4,1.0,1.0,49.14,99.94,82.14296601127877,1000
400,0.5,0.1,0.1,-41.44,19.87,73.71062013106375,1000
401,0.5,0.1,0.2,-25.97,27.09,118.27903225506594,1000
